[16:19:47] INIT_CARD result=1 cards=1
[16:19:48] DISABLED_Z_HARD_LIMIT
[16:19:48] RESET_Z_AXIS
[16:19:53] MOVE_XY 32767 32767 SPEED=1000
[16:21:04] MOVE_XY 11491 57563 SPEED=1000000
[16:21:04] MOVE_XY 11528 57563 SPEED=1000000
[16:21:04] MOVE_XY 11566 57563 SPEED=1000000
[16:21:04] MOVE_XY 11603 57563 SPEED=1000000
[16:21:04] MOVE_XY 11641 57563 SPEED=1000000
[16:21:04] MOVE_XY 11678 57563 SPEED=1000000
[16:21:04] MOVE_XY 11716 57563 SPEED=1000000
[16:21:04] MOVE_XY 11754 57563 SPEED=1000000
[16:21:04] MOVE_XY 11791 57563 SPEED=1000000
[16:21:04] MOVE_XY 11829 57563 SPEED=1000000
[16:21:04] MOVE_XY 11866 57563 SPEED=1000000
[16:21:04] MOVE_XY 11904 57563 SPEED=1000000
[16:21:04] MOVE_XY 11941 57563 SPEED=1000000
[16:21:04] MOVE_XY 11979 57563 SPEED=1000000
[16:21:04] MOVE_XY 12016 57563 SPEED=1000000
[16:21:04] MOVE_XY 12054 57563 SPEED=1000000
[16:21:04] MOVE_XY 12092 57563 SPEED=1000000
[16:21:04] MOVE_XY 12129 57563 SPEED=1000000
[16:21:04] MOVE_XY 12167 57563 SPEED=1000000
[16:21:04] MOVE_XY 12204 57563 SPEED=1000000
[16:21:04] MOVE_XY 12242 57563 SPEED=1000000
[16:21:04] MOVE_XY 12279 57563 SPEED=1000000
[16:21:04] MOVE_XY 12317 57563 SPEED=1000000
[16:21:04] MOVE_XY 12354 57563 SPEED=1000000
[16:21:04] MOVE_XY 12392 57563 SPEED=1000000
[16:21:04] MOVE_XY 12429 57563 SPEED=1000000
[16:21:04] MOVE_XY 12467 57563 SPEED=1000000
[16:21:04] MOVE_XY 12505 57563 SPEED=1000000
[16:21:04] MOVE_XY 12542 57563 SPEED=1000000
[16:21:04] MOVE_XY 12580 57563 SPEED=1000000
[16:21:04] MOVE_XY 12617 57563 SPEED=1000000
[16:21:04] MOVE_XY 12655 57563 SPEED=1000000
[16:21:04] MOVE_XY 12692 57563 SPEED=1000000
[16:21:04] MOVE_XY 12730 57563 SPEED=1000000
[16:21:04] MOVE_XY 12767 57563 SPEED=1000000
[16:21:04] MOVE_XY 12805 57563 SPEED=1000000
[16:21:04] MOVE_XY 12843 57563 SPEED=1000000
[16:21:04] MOVE_XY 12880 57563 SPEED=1000000
[16:21:04] MOVE_XY 12918 57563 SPEED=1000000
[16:21:04] MOVE_XY 12955 57563 SPEED=1000000
[16:21:04] MOVE_XY 12993 57563 SPEED=1000000
[16:21:04] MOVE_XY 13030 57563 SPEED=1000000
[16:21:04] MOVE_XY 13068 57563 SPEED=1000000
[16:21:04] MOVE_XY 13105 57563 SPEED=1000000
[16:21:04] MOVE_XY 13143 57563 SPEED=1000000
[16:21:04] MOVE_XY 13181 57563 SPEED=1000000
[16:21:04] MOVE_XY 13218 57563 SPEED=1000000
[16:21:04] MOVE_XY 13256 57563 SPEED=1000000
[16:21:04] MOVE_XY 13293 57563 SPEED=1000000
[16:21:04] MOVE_XY 13331 57563 SPEED=1000000
[16:21:04] MOVE_XY 13368 57563 SPEED=1000000
[16:21:04] MOVE_XY 13406 57563 SPEED=1000000
[16:21:04] MOVE_XY 13443 57563 SPEED=1000000
[16:21:04] MOVE_XY 13481 57563 SPEED=1000000
[16:21:04] MOVE_XY 13519 57563 SPEED=1000000
[16:21:04] MOVE_XY 13556 57563 SPEED=1000000
[16:21:04] MOVE_XY 13594 57563 SPEED=1000000
[16:21:04] MOVE_XY 13631 57563 SPEED=1000000
[16:21:04] MOVE_XY 13669 57563 SPEED=1000000
[16:21:04] MOVE_XY 13706 57563 SPEED=1000000
[16:21:04] MOVE_XY 13744 57563 SPEED=1000000
[16:21:04] MOVE_XY 13781 57563 SPEED=1000000
[16:21:04] MOVE_XY 13819 57563 SPEED=1000000
[16:21:04] MOVE_XY 13857 57563 SPEED=1000000
[16:21:04] MOVE_XY 13894 57563 SPEED=1000000
[16:21:04] MOVE_XY 13932 57563 SPEED=1000000
[16:21:04] MOVE_XY 13969 57563 SPEED=1000000
[16:21:04] MOVE_XY 14007 57563 SPEED=1000000
[16:21:04] MOVE_XY 14044 57563 SPEED=1000000
[16:21:04] MOVE_XY 14082 57563 SPEED=1000000
[16:21:04] MOVE_XY 14119 57563 SPEED=1000000
[16:21:04] MOVE_XY 14157 57563 SPEED=1000000
[16:21:04] MOVE_XY 14194 57563 SPEED=1000000
[16:21:04] MOVE_XY 14232 57563 SPEED=1000000
[16:21:04] MOVE_XY 14270 57563 SPEED=1000000
[16:21:04] MOVE_XY 14307 57563 SPEED=1000000
[16:21:04] MOVE_XY 14345 57563 SPEED=1000000
[16:21:04] MOVE_XY 14382 57563 SPEED=1000000
[16:21:04] MOVE_XY 14420 57563 SPEED=1000000
[16:21:04] MOVE_XY 14457 57563 SPEED=1000000
[16:21:04] MOVE_XY 14495 57563 SPEED=1000000
[16:21:04] MOVE_XY 14532 57563 SPEED=1000000
[16:21:04] MOVE_XY 14570 57563 SPEED=1000000
[16:21:04] MOVE_XY 14608 57563 SPEED=1000000
[16:21:04] MOVE_XY 14645 57563 SPEED=1000000
[16:21:04] MOVE_XY 14683 57563 SPEED=1000000
[16:21:04] MOVE_XY 14720 57563 SPEED=1000000
[16:21:04] MOVE_XY 14758 57563 SPEED=1000000
[16:21:04] MOVE_XY 14795 57563 SPEED=1000000
[16:21:04] MOVE_XY 14833 57563 SPEED=1000000
[16:21:04] MOVE_XY 14870 57563 SPEED=1000000
[16:21:04] MOVE_XY 14908 57563 SPEED=1000000
[16:21:04] MOVE_XY 14946 57563 SPEED=1000000
[16:21:04] MOVE_XY 14983 57563 SPEED=1000000
[16:21:04] MOVE_XY 15021 57563 SPEED=1000000
[16:21:04] MOVE_XY 15058 57563 SPEED=1000000
[16:21:04] MOVE_XY 15096 57563 SPEED=1000000
[16:21:04] MOVE_XY 15133 57563 SPEED=1000000
[16:21:04] MOVE_XY 15171 57563 SPEED=1000000
[16:21:04] MOVE_XY 15208 57563 SPEED=1000000
[16:21:04] MOVE_XY 15246 57563 SPEED=1000000
[16:21:04] MOVE_XY 15284 57563 SPEED=1000000
[16:21:04] MOVE_XY 15321 57563 SPEED=1000000
[16:21:04] MOVE_XY 15359 57563 SPEED=1000000
[16:21:04] MOVE_XY 15396 57563 SPEED=1000000
[16:21:04] MOVE_XY 15434 57563 SPEED=1000000
[16:21:04] MOVE_XY 15471 57563 SPEED=1000000
[16:21:04] MOVE_XY 15509 57563 SPEED=1000000
[16:21:04] MOVE_XY 15546 57563 SPEED=1000000
[16:21:04] MOVE_XY 15584 57563 SPEED=1000000
[16:21:04] MOVE_XY 15621 57563 SPEED=1000000
[16:21:04] MOVE_XY 15659 57563 SPEED=1000000
[16:21:04] MOVE_XY 15697 57563 SPEED=1000000
[16:21:04] MOVE_XY 15734 57563 SPEED=1000000
[16:21:04] MOVE_XY 15772 57563 SPEED=1000000
[16:21:04] MOVE_XY 15809 57563 SPEED=1000000
[16:21:04] MOVE_XY 15847 57563 SPEED=1000000
[16:21:04] MOVE_XY 15884 57563 SPEED=1000000
[16:21:04] MOVE_XY 15922 57563 SPEED=1000000
[16:21:04] MOVE_XY 15959 57563 SPEED=1000000
[16:21:04] MOVE_XY 15997 57563 SPEED=1000000
[16:21:04] MOVE_XY 16035 57563 SPEED=1000000
[16:21:04] MOVE_XY 16072 57563 SPEED=1000000
[16:21:04] MOVE_XY 16110 57563 SPEED=1000000
[16:21:04] MOVE_XY 16147 57563 SPEED=1000000
[16:21:04] MOVE_XY 16185 57563 SPEED=1000000
[16:21:04] MOVE_XY 16222 57563 SPEED=1000000
[16:21:04] MOVE_XY 16260 57563 SPEED=1000000
[16:21:04] MOVE_XY 16297 57563 SPEED=1000000
[16:21:04] MOVE_XY 16335 57563 SPEED=1000000
[16:21:04] MOVE_XY 16373 57563 SPEED=1000000
[16:21:04] MOVE_XY 16410 57563 SPEED=1000000
[16:21:04] MOVE_XY 16448 57563 SPEED=1000000
[16:21:04] MOVE_XY 16485 57563 SPEED=1000000
[16:21:04] MOVE_XY 16523 57563 SPEED=1000000
[16:21:04] MOVE_XY 16560 57563 SPEED=1000000
[16:21:04] MOVE_XY 16598 57563 SPEED=1000000
[16:21:04] MOVE_XY 16635 57563 SPEED=1000000
[16:21:04] MOVE_XY 16673 57563 SPEED=1000000
[16:21:04] MOVE_XY 16711 57563 SPEED=1000000
[16:21:04] MOVE_XY 16748 57563 SPEED=1000000
[16:21:04] MOVE_XY 16786 57563 SPEED=1000000
[16:21:04] MOVE_XY 16823 57563 SPEED=1000000
[16:21:04] MOVE_XY 16861 57563 SPEED=1000000
[16:21:04] MOVE_XY 16898 57563 SPEED=1000000
[16:21:04] MOVE_XY 16936 57563 SPEED=1000000
[16:21:04] MOVE_XY 16973 57563 SPEED=1000000
[16:21:04] MOVE_XY 17011 57563 SPEED=1000000
[16:21:04] MOVE_XY 17048 57563 SPEED=1000000
[16:21:04] MOVE_XY 17086 57563 SPEED=1000000
[16:21:04] MOVE_XY 17124 57563 SPEED=1000000
[16:21:04] MOVE_XY 17161 57563 SPEED=1000000
[16:21:04] MOVE_XY 17199 57563 SPEED=1000000
[16:21:04] MOVE_XY 17236 57563 SPEED=1000000
[16:21:04] MOVE_XY 17274 57563 SPEED=1000000
[16:21:04] MOVE_XY 17311 57563 SPEED=1000000
[16:21:04] MOVE_XY 17349 57563 SPEED=1000000
[16:21:04] MOVE_XY 17386 57563 SPEED=1000000
[16:21:04] MOVE_XY 17424 57563 SPEED=1000000
[16:21:04] MOVE_XY 17462 57563 SPEED=1000000
[16:21:04] MOVE_XY 17499 57563 SPEED=1000000
[16:21:04] MOVE_XY 17537 57563 SPEED=1000000
[16:21:04] MOVE_XY 17574 57563 SPEED=1000000
[16:21:04] MOVE_XY 17612 57563 SPEED=1000000
[16:21:04] MOVE_XY 17649 57563 SPEED=1000000
[16:21:04] MOVE_XY 17687 57563 SPEED=1000000
[16:21:04] MOVE_XY 17724 57563 SPEED=1000000
[16:21:04] MOVE_XY 17762 57563 SPEED=1000000
[16:21:04] MOVE_XY 17800 57563 SPEED=1000000
[16:21:04] MOVE_XY 17837 57563 SPEED=1000000
[16:21:04] MOVE_XY 17875 57563 SPEED=1000000
[16:21:04] MOVE_XY 17912 57563 SPEED=1000000
[16:21:04] MOVE_XY 17950 57563 SPEED=1000000
[16:21:04] MOVE_XY 17987 57563 SPEED=1000000
[16:21:04] MOVE_XY 18025 57563 SPEED=1000000
[16:21:04] MOVE_XY 18062 57563 SPEED=1000000
[16:21:04] MOVE_XY 18100 57563 SPEED=1000000
[16:21:04] MOVE_XY 18138 57563 SPEED=1000000
[16:21:04] MOVE_XY 18175 57563 SPEED=1000000
[16:21:04] MOVE_XY 18213 57563 SPEED=1000000
[16:21:04] MOVE_XY 18250 57563 SPEED=1000000
[16:21:04] MOVE_XY 18288 57563 SPEED=1000000
[16:21:04] MOVE_XY 18325 57563 SPEED=1000000
[16:21:04] MOVE_XY 18363 57563 SPEED=1000000
[16:21:04] MOVE_XY 18400 57563 SPEED=1000000
[16:21:04] MOVE_XY 18438 57563 SPEED=1000000
[16:21:04] MOVE_XY 18475 57563 SPEED=1000000
[16:21:04] MOVE_XY 18513 57563 SPEED=1000000
[16:21:04] MOVE_XY 18551 57563 SPEED=1000000
[16:21:04] MOVE_XY 18588 57563 SPEED=1000000
[16:21:04] MOVE_XY 18626 57563 SPEED=1000000
[16:21:04] MOVE_XY 18663 57563 SPEED=1000000
[16:21:04] MOVE_XY 18701 57563 SPEED=1000000
[16:21:04] MOVE_XY 18738 57563 SPEED=1000000
[16:21:04] MOVE_XY 18776 57563 SPEED=1000000
[16:21:04] MOVE_XY 18813 57563 SPEED=1000000
[16:21:04] MOVE_XY 18851 57563 SPEED=1000000
[16:21:04] MOVE_XY 18889 57563 SPEED=1000000
[16:21:04] MOVE_XY 18926 57563 SPEED=1000000
[16:21:04] MOVE_XY 18964 57563 SPEED=1000000
[16:21:04] MOVE_XY 19001 57563 SPEED=1000000
[16:21:04] MOVE_XY 19039 57563 SPEED=1000000
[16:21:04] MOVE_XY 19076 57563 SPEED=1000000
[16:21:04] MOVE_XY 19114 57563 SPEED=1000000
[16:21:04] MOVE_XY 19151 57563 SPEED=1000000
[16:21:04] MOVE_XY 19189 57563 SPEED=1000000
[16:21:04] MOVE_XY 19227 57563 SPEED=1000000
[16:21:04] MOVE_XY 19264 57563 SPEED=1000000
[16:21:04] MOVE_XY 19302 57563 SPEED=1000000
[16:21:04] MOVE_XY 19339 57563 SPEED=1000000
[16:21:04] MOVE_XY 19377 57563 SPEED=1000000
[16:21:04] MOVE_XY 19414 57563 SPEED=1000000
[16:21:04] MOVE_XY 19452 57563 SPEED=1000000
[16:21:04] MOVE_XY 19489 57563 SPEED=1000000
[16:21:04] MOVE_XY 19527 57563 SPEED=1000000
[16:21:04] MOVE_XY 19565 57563 SPEED=1000000
[16:21:04] MOVE_XY 19602 57563 SPEED=1000000
[16:21:04] MOVE_XY 19640 57563 SPEED=1000000
[16:21:04] MOVE_XY 19677 57563 SPEED=1000000
[16:21:04] MOVE_XY 19715 57563 SPEED=1000000
[16:21:04] MOVE_XY 19752 57563 SPEED=1000000
[16:21:04] MOVE_XY 19790 57563 SPEED=1000000
[16:21:04] MOVE_XY 19827 57563 SPEED=1000000
[16:21:04] MOVE_XY 19865 57563 SPEED=1000000
[16:21:04] MOVE_XY 19903 57563 SPEED=1000000
[16:21:04] MOVE_XY 19940 57563 SPEED=1000000
[16:21:04] MOVE_XY 19978 57563 SPEED=1000000
[16:21:04] MOVE_XY 20015 57563 SPEED=1000000
[16:21:04] MOVE_XY 20053 57563 SPEED=1000000
[16:21:04] MOVE_XY 20090 57563 SPEED=1000000
[16:21:04] MOVE_XY 20128 57563 SPEED=1000000
[16:21:04] MOVE_XY 20165 57563 SPEED=1000000
[16:21:04] MOVE_XY 20203 57563 SPEED=1000000
[16:21:04] MOVE_XY 20240 57563 SPEED=1000000
[16:21:04] MOVE_XY 20278 57563 SPEED=1000000
[16:21:04] MOVE_XY 20316 57563 SPEED=1000000
[16:21:04] MOVE_XY 20353 57563 SPEED=1000000
[16:21:04] MOVE_XY 20391 57563 SPEED=1000000
[16:21:04] MOVE_XY 20428 57563 SPEED=1000000
[16:21:04] MOVE_XY 20466 57563 SPEED=1000000
[16:21:04] MOVE_XY 20503 57563 SPEED=1000000
[16:21:04] MOVE_XY 20541 57563 SPEED=1000000
[16:21:04] MOVE_XY 20578 57563 SPEED=1000000
[16:21:04] MOVE_XY 20616 57563 SPEED=1000000
[16:21:04] MOVE_XY 20654 57563 SPEED=1000000
[16:21:04] MOVE_XY 20691 57563 SPEED=1000000
[16:21:04] MOVE_XY 20729 57563 SPEED=1000000
[16:21:04] MOVE_XY 20766 57563 SPEED=1000000
[16:21:04] MOVE_XY 20804 57563 SPEED=1000000
[16:21:04] MOVE_XY 20841 57563 SPEED=1000000
[16:21:04] MOVE_XY 20879 57563 SPEED=1000000
[16:21:04] MOVE_XY 20916 57563 SPEED=1000000
[16:21:04] MOVE_XY 20954 57563 SPEED=1000000
[16:21:04] MOVE_XY 20992 57563 SPEED=1000000
[16:21:04] MOVE_XY 21029 57563 SPEED=1000000
[16:21:04] MOVE_XY 21067 57563 SPEED=1000000
[16:21:04] MOVE_XY 21104 57563 SPEED=1000000
[16:21:04] MOVE_XY 21142 57563 SPEED=1000000
[16:21:04] MOVE_XY 21179 57563 SPEED=1000000
[16:21:04] MOVE_XY 21217 57563 SPEED=1000000
[16:21:04] MOVE_XY 21254 57563 SPEED=1000000
[16:21:04] MOVE_XY 21292 57563 SPEED=1000000
[16:21:04] MOVE_XY 21330 57563 SPEED=1000000
[16:21:04] MOVE_XY 21367 57563 SPEED=1000000
[16:21:04] MOVE_XY 21405 57563 SPEED=1000000
[16:21:04] MOVE_XY 21442 57563 SPEED=1000000
[16:21:04] MOVE_XY 21480 57563 SPEED=1000000
[16:21:04] MOVE_XY 21517 57563 SPEED=1000000
[16:21:04] MOVE_XY 21555 57563 SPEED=1000000
[16:21:04] MOVE_XY 21592 57563 SPEED=1000000
[16:21:04] MOVE_XY 21630 57563 SPEED=1000000
[16:21:04] MOVE_XY 21667 57563 SPEED=1000000
[16:21:04] MOVE_XY 21705 57563 SPEED=1000000
[16:21:04] MOVE_XY 21743 57563 SPEED=1000000
[16:21:04] MOVE_XY 21780 57563 SPEED=1000000
[16:21:04] MOVE_XY 21818 57563 SPEED=1000000
[16:21:04] MOVE_XY 21855 57563 SPEED=1000000
[16:21:04] MOVE_XY 21893 57563 SPEED=1000000
[16:21:04] MOVE_XY 21930 57563 SPEED=1000000
[16:21:04] MOVE_XY 21968 57563 SPEED=1000000
[16:21:04] MOVE_XY 22005 57563 SPEED=1000000
[16:21:04] MOVE_XY 22043 57563 SPEED=1000000
[16:21:04] MOVE_XY 22081 57563 SPEED=1000000
[16:21:04] MOVE_XY 22118 57563 SPEED=1000000
[16:21:04] MOVE_XY 22156 57563 SPEED=1000000
[16:21:04] MOVE_XY 22193 57563 SPEED=1000000
[16:21:04] MOVE_XY 22231 57563 SPEED=1000000
[16:21:04] MOVE_XY 22268 57563 SPEED=1000000
[16:21:04] MOVE_XY 22306 57563 SPEED=1000000
[16:21:04] MOVE_XY 22343 57563 SPEED=1000000
[16:21:04] MOVE_XY 22381 57563 SPEED=1000000
[16:21:04] MOVE_XY 22419 57563 SPEED=1000000
[16:21:04] MOVE_XY 22456 57563 SPEED=1000000
[16:21:04] MOVE_XY 22494 57563 SPEED=1000000
[16:21:04] MOVE_XY 22531 57563 SPEED=1000000
[16:21:04] MOVE_XY 22569 57563 SPEED=1000000
[16:21:04] MOVE_XY 22606 57563 SPEED=1000000
[16:21:04] MOVE_XY 22644 57563 SPEED=1000000
[16:21:04] MOVE_XY 22681 57563 SPEED=1000000
[16:21:04] MOVE_XY 22719 57563 SPEED=1000000
[16:21:04] MOVE_XY 22757 57563 SPEED=1000000
[16:21:04] MOVE_XY 22794 57563 SPEED=1000000
[16:21:04] MOVE_XY 22832 57563 SPEED=1000000
[16:21:04] MOVE_XY 22869 57563 SPEED=1000000
[16:21:04] MOVE_XY 22907 57563 SPEED=1000000
[16:21:04] MOVE_XY 22944 57563 SPEED=1000000
[16:21:04] MOVE_XY 22982 57563 SPEED=1000000
[16:21:04] MOVE_XY 23019 57563 SPEED=1000000
[16:21:04] MOVE_XY 23057 57563 SPEED=1000000
[16:21:04] MOVE_XY 23094 57563 SPEED=1000000
[16:21:04] MOVE_XY 23132 57563 SPEED=1000000
[16:21:04] MOVE_XY 23170 57563 SPEED=1000000
[16:21:04] MOVE_XY 23207 57563 SPEED=1000000
[16:21:04] MOVE_XY 23245 57563 SPEED=1000000
[16:21:04] MOVE_XY 23282 57563 SPEED=1000000
[16:21:04] MOVE_XY 23320 57563 SPEED=1000000
[16:21:04] MOVE_XY 23357 57563 SPEED=1000000
[16:21:04] MOVE_XY 23395 57563 SPEED=1000000
[16:21:04] MOVE_XY 23432 57563 SPEED=1000000
[16:21:04] MOVE_XY 23470 57563 SPEED=1000000
[16:21:04] MOVE_XY 23508 57563 SPEED=1000000
[16:21:04] MOVE_XY 23545 57563 SPEED=1000000
[16:21:04] MOVE_XY 23583 57563 SPEED=1000000
[16:21:04] MOVE_XY 23620 57563 SPEED=1000000
[16:21:04] MOVE_XY 23658 57563 SPEED=1000000
[16:21:04] MOVE_XY 23695 57563 SPEED=1000000
[16:21:04] MOVE_XY 23733 57563 SPEED=1000000
[16:21:04] MOVE_XY 23770 57563 SPEED=1000000
[16:21:04] MOVE_XY 23808 57563 SPEED=1000000
[16:21:04] MOVE_XY 23846 57563 SPEED=1000000
[16:21:04] MOVE_XY 23883 57563 SPEED=1000000
[16:21:04] MOVE_XY 23921 57563 SPEED=1000000
[16:21:04] MOVE_XY 23958 57563 SPEED=1000000
[16:21:04] MOVE_XY 23996 57563 SPEED=1000000
[16:21:04] MOVE_XY 24033 57563 SPEED=1000000
[16:21:04] MOVE_XY 24071 57563 SPEED=1000000
[16:21:04] MOVE_XY 24108 57563 SPEED=1000000
[16:21:04] MOVE_XY 24146 57563 SPEED=1000000
[16:21:04] MOVE_XY 24184 57563 SPEED=1000000
[16:21:04] MOVE_XY 24221 57563 SPEED=1000000
[16:21:04] MOVE_XY 24259 57563 SPEED=1000000
[16:21:04] MOVE_XY 24296 57563 SPEED=1000000
[16:21:04] MOVE_XY 24334 57563 SPEED=1000000
[16:21:04] MOVE_XY 24371 57563 SPEED=1000000
[16:21:04] MOVE_XY 24409 57563 SPEED=1000000
[16:21:04] MOVE_XY 24446 57563 SPEED=1000000
[16:21:04] MOVE_XY 24484 57563 SPEED=1000000
[16:21:04] MOVE_XY 24522 57563 SPEED=1000000
[16:21:04] MOVE_XY 24559 57563 SPEED=1000000
[16:21:04] MOVE_XY 24597 57563 SPEED=1000000
[16:21:04] MOVE_XY 24634 57563 SPEED=1000000
[16:21:04] MOVE_XY 24672 57563 SPEED=1000000
[16:21:04] MOVE_XY 24709 57563 SPEED=1000000
[16:21:04] MOVE_XY 24747 57563 SPEED=1000000
[16:21:04] MOVE_XY 24784 57563 SPEED=1000000
[16:21:04] MOVE_XY 24822 57563 SPEED=1000000
[16:21:04] MOVE_XY 24859 57563 SPEED=1000000
[16:21:04] MOVE_XY 24897 57563 SPEED=1000000
[16:21:04] MOVE_XY 24935 57563 SPEED=1000000
[16:21:04] MOVE_XY 24972 57563 SPEED=1000000
[16:21:04] MOVE_XY 25010 57563 SPEED=1000000
[16:21:04] MOVE_XY 25047 57563 SPEED=1000000
[16:21:04] MOVE_XY 25085 57563 SPEED=1000000
[16:21:04] MOVE_XY 25122 57563 SPEED=1000000
[16:21:04] MOVE_XY 25160 57563 SPEED=1000000
[16:21:04] MOVE_XY 25197 57563 SPEED=1000000
[16:21:04] MOVE_XY 25235 57563 SPEED=1000000
[16:21:04] MOVE_XY 25273 57563 SPEED=1000000
[16:21:04] MOVE_XY 25310 57563 SPEED=1000000
[16:21:04] MOVE_XY 25348 57563 SPEED=1000000
[16:21:04] MOVE_XY 25385 57563 SPEED=1000000
[16:21:04] MOVE_XY 25423 57563 SPEED=1000000
[16:21:04] MOVE_XY 25460 57563 SPEED=1000000
[16:21:04] MOVE_XY 25498 57563 SPEED=1000000
[16:21:04] MOVE_XY 25535 57563 SPEED=1000000
[16:21:04] MOVE_XY 25573 57563 SPEED=1000000
[16:21:04] MOVE_XY 25611 57563 SPEED=1000000
[16:21:04] MOVE_XY 25648 57563 SPEED=1000000
[16:21:04] MOVE_XY 25686 57563 SPEED=1000000
[16:21:04] MOVE_XY 25723 57563 SPEED=1000000
[16:21:04] MOVE_XY 25761 57563 SPEED=1000000
[16:21:04] MOVE_XY 25798 57563 SPEED=1000000
[16:21:04] MOVE_XY 25836 57563 SPEED=1000000
[16:21:04] MOVE_XY 25873 57563 SPEED=1000000
[16:21:04] MOVE_XY 25911 57563 SPEED=1000000
[16:21:04] MOVE_XY 25949 57563 SPEED=1000000
[16:21:04] MOVE_XY 25986 57563 SPEED=1000000
[16:21:04] MOVE_XY 26024 57563 SPEED=1000000
[16:21:04] MOVE_XY 26061 57563 SPEED=1000000
[16:21:04] MOVE_XY 26099 57563 SPEED=1000000
[16:21:04] MOVE_XY 26136 57563 SPEED=1000000
[16:21:04] MOVE_XY 26174 57563 SPEED=1000000
[16:21:04] MOVE_XY 26211 57563 SPEED=1000000
[16:21:04] MOVE_XY 26249 57563 SPEED=1000000
[16:21:04] MOVE_XY 26286 57563 SPEED=1000000
[16:21:04] MOVE_XY 26324 57563 SPEED=1000000
[16:21:04] MOVE_XY 26362 57563 SPEED=1000000
[16:21:04] MOVE_XY 26399 57563 SPEED=1000000
[16:21:04] MOVE_XY 26437 57563 SPEED=1000000
[16:21:04] MOVE_XY 26474 57563 SPEED=1000000
[16:21:04] MOVE_XY 26512 57563 SPEED=1000000
